Displacements
Node, u, v
1.000000 , 0.248208, 0.000000
2.000000 , 0.220891, 0.018548
3.000000 , 0.156983, -0.000290
4.000000 , 0.094083, -0.068930
5.000000 , 0.080858, -0.190340
6.000000 , 0.124104, -0.245178
7.000000 , 0.167351, -0.190340
8.000000 , 0.154125, -0.068930
9.000000 , 0.091225, -0.000290
10.000000 , 0.027318, 0.018548
11.000000 , 0.000000, 0.000000
12.000000 , 0.027318, -0.018548
13.000000 , 0.091225, 0.000290
14.000000 , 0.154125, 0.068930
15.000000 , 0.167351, 0.190340
16.000000 , 0.124104, 0.245178
17.000000 , 0.080858, 0.190340
18.000000 , 0.094083, 0.068930
19.000000 , 0.156983, 0.000290
20.000000 , 0.220891, -0.018548
21.000000 , 0.248621, 0.000000
22.000000 , 0.226208, 0.002928
23.000000 , 0.173228, -0.023566
24.000000 , 0.122928, -0.093269
25.000000 , 0.104343, -0.187113
26.000000 , 0.124104, -0.229566
27.000000 , 0.143865, -0.187113
28.000000 , 0.125281, -0.093269
29.000000 , 0.074980, -0.023566
30.000000 , 0.022000, 0.002928
31.000000 , -0.000413, 0.000000
32.000000 , 0.022000, -0.002928
33.000000 , 0.074980, 0.023566
34.000000 , 0.125281, 0.093269
35.000000 , 0.143865, 0.187113
36.000000 , 0.124104, 0.229566
37.000000 , 0.104343, 0.187113
38.000000 , 0.122928, 0.093269
39.000000 , 0.173228, 0.023566
40.000000 , 0.226208, -0.002928
41.000000 , 0.249704, 0.000000
42.000000 , 0.231025, -0.009754
43.000000 , 0.186396, -0.043349
44.000000 , 0.142127, -0.108744
45.000000 , 0.120254, -0.183547
46.000000 , 0.124104, -0.216658
47.000000 , 0.127955, -0.183547
48.000000 , 0.106082, -0.108744
49.000000 , 0.061812, -0.043349
50.000000 , 0.017184, -0.009754
51.000000 , -0.001496, 0.000000
52.000000 , 0.017184, 0.009754
53.000000 , 0.061812, 0.043349
54.000000 , 0.106082, 0.108744
55.000000 , 0.127955, 0.183547
56.000000 , 0.124104, 0.216658
57.000000 , 0.120254, 0.183547
58.000000 , 0.142127, 0.108744
59.000000 , 0.186396, 0.043349
60.000000 , 0.231025, 0.009754
61.000000 , 0.251476, 0.000000
62.000000 , 0.235699, -0.020631
63.000000 , 0.197119, -0.059267
64.000000 , 0.156234, -0.119483
65.000000 , 0.131175, -0.180959
66.000000 , 0.124104, -0.207415
67.000000 , 0.117034, -0.180959
68.000000 , 0.091974, -0.119483
69.000000 , 0.051089, -0.059267
70.000000 , 0.012510, -0.020631
71.000000 , -0.003268, 0.000000
72.000000 , 0.012510, 0.020631
73.000000 , 0.051089, 0.059267
74.000000 , 0.091974, 0.119483
75.000000 , 0.117034, 0.180959
76.000000 , 0.124104, 0.207415
77.000000 , 0.131175, 0.180959
78.000000 , 0.156234, 0.119483
79.000000 , 0.197119, 0.059267
80.000000 , 0.235699, 0.020631
81.000000 , 0.253232, 0.000000
82.000000 , 0.240497, -0.031747
83.000000 , 0.208038, -0.074714
84.000000 , 0.170202, -0.129775
85.000000 , 0.141293, -0.180961
86.000000 , 0.124104, -0.202361
87.000000 , 0.106916, -0.180961
88.000000 , 0.078006, -0.129775
89.000000 , 0.040170, -0.074714
90.000000 , 0.007712, -0.031747
91.000000 , -0.005024, 0.000000
92.000000 , 0.007712, 0.031747
93.000000 , 0.040170, 0.074714
94.000000 , 0.078006, 0.129775
95.000000 , 0.106916, 0.180961
96.000000 , 0.124104, 0.202361
97.000000 , 0.141293, 0.180961
98.000000 , 0.170202, 0.129775
99.000000 , 0.208038, 0.074714
100.000000 , 0.240497, 0.031747
101.000000 , 0.250552, 0.000000
102.000000 , 0.243785, -0.050025
103.000000 , 0.224563, -0.100530
104.000000 , 0.195730, -0.148181
105.000000 , 0.161075, -0.184257
106.000000 , 0.124104, -0.197961
107.000000 , 0.087133, -0.184257
108.000000 , 0.052479, -0.148181
109.000000 , 0.023645, -0.100530
110.000000 , 0.004424, -0.050025
111.000000 , -0.002344, 0.000000
112.000000 , 0.004424, 0.050025
113.000000 , 0.023645, 0.100530
114.000000 , 0.052479, 0.148181
115.000000 , 0.087133, 0.184257
116.000000 , 0.124104, 0.197961
117.000000 , 0.161075, 0.184257
118.000000 , 0.195730, 0.148181
119.000000 , 0.224563, 0.100530
120.000000 , 0.243785, 0.050025
