Displacements
Node, u, v
1.000000 , 0.356127, 0.000000
2.000000 , 0.341526, 0.019779
3.000000 , 0.301367, 0.026508
4.000000 , 0.245772, 0.010635
5.000000 , 0.188962, -0.031019
6.000000 , 0.145488, -0.093905
7.000000 , 0.124485, -0.166961
8.000000 , 0.134656, -0.251303
9.000000 , 0.178063, -0.298442
10.000000 , 0.221471, -0.251303
11.000000 , 0.231642, -0.166961
12.000000 , 0.210639, -0.093905
13.000000 , 0.167165, -0.031019
14.000000 , 0.110355, 0.010635
15.000000 , 0.054760, 0.026508
16.000000 , 0.014600, 0.019779
17.000000 , 0.000000, 0.000000
18.000000 , 0.014600, -0.019779
19.000000 , 0.054760, -0.026508
20.000000 , 0.110355, -0.010635
21.000000 , 0.167165, 0.031019
22.000000 , 0.210639, 0.093905
23.000000 , 0.231642, 0.166961
24.000000 , 0.221471, 0.251303
25.000000 , 0.178063, 0.298442
26.000000 , 0.134656, 0.251303
27.000000 , 0.124485, 0.166961
28.000000 , 0.145488, 0.093905
29.000000 , 0.188962, 0.031019
30.000000 , 0.245772, -0.010635
31.000000 , 0.301367, -0.026508
32.000000 , 0.341526, -0.019779
33.000000 , 0.357445, 0.000000
34.000000 , 0.345050, 0.008276
35.000000 , 0.310864, 0.005921
36.000000 , 0.263221, -0.014788
37.000000 , 0.213843, -0.056346
38.000000 , 0.174850, -0.114792
39.000000 , 0.155950, -0.183335
40.000000 , 0.159038, -0.250872
41.000000 , 0.178063, -0.282756
42.000000 , 0.197088, -0.250872
43.000000 , 0.200177, -0.183335
44.000000 , 0.181277, -0.114792
45.000000 , 0.142284, -0.056346
46.000000 , 0.092906, -0.014788
47.000000 , 0.045263, 0.005921
48.000000 , 0.011077, 0.008276
49.000000 , -0.001318, 0.000000
50.000000 , 0.011077, -0.008276
51.000000 , 0.045263, -0.005921
52.000000 , 0.092906, 0.014788
53.000000 , 0.142284, 0.056346
54.000000 , 0.181277, 0.114792
55.000000 , 0.200177, 0.183335
56.000000 , 0.197088, 0.250872
57.000000 , 0.178063, 0.282756
58.000000 , 0.159038, 0.250872
59.000000 , 0.155950, 0.183335
60.000000 , 0.174850, 0.114792
61.000000 , 0.213843, 0.056346
62.000000 , 0.263221, 0.014788
63.000000 , 0.310864, -0.005921
64.000000 , 0.345050, -0.008276
65.000000 , 0.359119, 0.000000
66.000000 , 0.348633, -0.001848
67.000000 , 0.319577, -0.012155
68.000000 , 0.278638, -0.037059
69.000000 , 0.235292, -0.078489
70.000000 , 0.199583, -0.133578
71.000000 , 0.178759, -0.195021
72.000000 , 0.173443, -0.248799
