Displacements
Node, u, v
1.000000 , 0.270854, 0.000000
2.000000 , 0.248735, 0.030123
3.000000 , 0.187861, 0.040516
4.000000 , 0.103488, 0.016697
5.000000 , 0.017112, -0.046229
6.000000 , -0.049183, -0.141389
7.000000 , -0.080726, -0.251945
8.000000 , -0.070233, -0.371679
9.000000 , 0.000000, -0.476508
10.000000 , 0.272866, 0.000000
11.000000 , 0.254089, 0.012702
12.000000 , 0.202274, 0.009324
13.000000 , 0.129977, -0.021848
14.000000 , 0.054908, -0.084631
15.000000 , -0.004562, -0.173164
16.000000 , -0.034073, -0.275373
17.000000 , -0.027499, -0.379463
18.000000 , 0.000000, -0.440641
19.000000 , 0.275421, 0.000000
20.000000 , 0.259541, -0.002646
21.000000 , 0.215520, -0.018093
22.000000 , 0.153428, -0.055641
23.000000 , 0.087554, -0.118275
24.000000 , 0.033075, -0.201477
25.000000 , 0.001639, -0.294591
26.000000 , -0.005709, -0.378756
27.000000 , 0.000000, -0.417852
28.000000 , 0.278191, 0.000000
29.000000 , 0.264983, -0.016881
30.000000 , 0.228112, -0.043467
31.000000 , 0.175227, -0.086801
32.000000 , 0.117234, -0.149148
33.000000 , 0.065782, -0.226799
34.000000 , 0.029505, -0.309138
35.000000 , 0.009705, -0.377100
36.000000 , 0.000000, -0.404931
37.000000 , 0.279923, 0.000000
38.000000 , 0.269580, -0.031804
39.000000 , 0.240401, -0.070057
40.000000 , 0.197477, -0.119354
41.000000 , 0.147935, -0.180957
42.000000 , 0.099312, -0.251638
43.000000 , 0.057658, -0.322338
44.000000 , 0.025426, -0.377423
45.000000 , 0.000000, -0.398752
46.000000 , 0.276545, 0.000000
47.000000 , 0.270130, -0.051218
48.000000 , 0.251671, -0.104774
49.000000 , 0.223244, -0.162053
50.000000 , 0.187429, -0.222641
51.000000 , 0.146296, -0.283553
52.000000 , 0.100852, -0.338540
53.000000 , 0.051641, -0.378227
54.000000 , 0.000000, -0.392912
Stress
Element, Gauss Node, Global Node, Stress-x, Stress-y, Stress-xy
1 ,1, 1, -8.155631, 847.927260, -217.153139
1 ,2, 2, -41.374963, 893.167326, 2.839100
1 ,3, 11, -52.460980, 558.676912, -202.427068
1 ,4, 10, -87.762443, 606.752549, 31.353912
2 ,1, 2, 105.389783, 599.378257, -349.554770
2 ,2, 3, 22.096136, 718.303725, -174.531342
2 ,3, 12, 54.064369, 348.796130, -299.315919
2 ,4, 11, -34.449984, 475.175645, -113.322320
3 ,1, 3, 211.853893, 241.520905, -318.115818
3 ,2, 4, 120.168706, 390.965828, -211.884220
3 ,3, 13, 154.519666, 59.536230, -254.998692
3 ,4, 12, 57.087806, 218.348108, -142.108678
4 ,1, 4, 191.236650, -89.334374, -118.723613
4 ,2, 5, 137.461887, 41.320262, -71.412215
4 ,3, 14, 144.676450, -193.823360, -69.384548
4 ,4, 13, 87.531176, -54.979512, -19.107752
5 ,1, 5, -47.109746, -271.282939, 161.486516
5 ,2, 6, -39.446400, -190.742474, 187.474111
5 ,3, 15, -55.895118, -310.997010, 180.754264
5 ,4, 14, -47.751446, -225.408404, 208.370717
6 ,1, 6, -486.153417, -251.336496, 373.454571
6 ,2, 7, -453.863145, -161.526320, 408.508053
6 ,3, 16, -471.155950, -276.779307, 388.206334
6 ,4, 15, -436.841779, -181.339981, 425.456909
7 ,1, 7, -1125.619535, -262.765332, 537.436832
7 ,2, 8, -1114.488709, -386.001549, 563.411592
7 ,3, 17, -1067.718225, -229.283716, 499.596332
7 ,4, 16, -1055.889738, -360.244171, 527.199146
8 ,1, 8, -2225.299485, -882.387492, 531.908977
8 ,2, 9, -2278.084876, -2064.099495, 1031.113669
8 ,3, 18, -1501.336495, -673.292594, 205.174866
8 ,4, 17, -1557.430385, -1929.072307, 735.668864
9 ,1, 10, -114.060855, 331.696964, -204.704668
9 ,2, 11, -136.004262, 377.099278, 9.019118
9 ,3, 20, -161.984430, 17.139795, -191.400311
9 ,4, 19, -185.470711, 65.734413, 37.350708
10 ,1, 11, 19.821415, 115.241914, -323.320354
